"","id","source","FV","H","Book","X1770","X1774","X1780","red_pencil_PD","ink_melanges","Paral..to..Observations.","Paral..to..Supplément.","working_notes","n_word","Notes","other"
"128","109","H-FP_T2 L7","no","yes","L7","n/a","n/a","n/a","no","no","","","","169","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 111",""
"129","110","H-FP_T2 L7","no","yes","L7","n/a","n/a","n/a","no","no","","","","225","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 112",""
"130","111 A","V-FP_T2 L7","yes","yes","L7","appeared","changed","not changed","yes","no","","","","Part 1: 397
Part 1-3: 644 
(H-FP)","Livre VII, ch 31:
This fragment (111) is divided into two parts in Duchet. In Hornoy these two parts are marked, as well as a small fragment in between.
Part 1 (111 A): §13-14 P.D. p. 25-26 (Duchet: F.71-B) // Goggi ""Liste"" no. 113
Part 2: Only marked in Hornoy",""
"131","111 B","H-FP_T2 L7","yes","yes","L7","appeared","not changed","changed","yes","yes","","","","Part 3: 179","Part 3 (111 B): §15-16 P.D. p. 356 (Duchet: F.72-B) // Goggi ""Liste"" no. 114",""
"132","112","V-FP_T2 L8","yes","yes","L8","not appeared","not appeared","appeared","yes","no","no","yes (says Duch)","","995","Goggi: P.D. p 235-239 (sans les trois dernières lignes qui constituent une transition textuelle) // I did NOT delete these last 3 lignes from
V-FP!",""
"133","113","V-FP_T2 L8","yes","yes","L8","not appeared","not appeared","appeared","yes","no","","","","402","Goggi: P.D. p 154-156 (sans le §3) // I did not delete §3 because I dont know which one it is // Duchet split this fragment into two [Damien: or three?] parts! 
Duchet: P.D. p. 154;  P.D. p. 155-156 // Julian: I do not know where is fragment should be split: Damien: I do not think that it makes sense to split it 
into 2 parts, so we stick to Goggi's list and consider this to be one fragment. Accordingly, I suppressed the distinction between 113 A and 113 B.",""
"134","114","V-FP_T2 L8","yes","yes","L8","appeared","not changed","changed","yes","no","","","","195","Goggi: P.D. p. 355 (sans la première ligne et demi et sans les cinq dernières lignes biffées dans FI) // I did not change this fragment which
means: everything which is marked in H-FP will also appear in V-FP)",""
"135","Non Marque VII","V-FP_T2 L8","no","no","L8","n/a","n/a","n/a","no","no","","","","140","CAUTION: This is exactly the same passage as in Non Marqué VI (?????) // In Goggi's ""Liste"" but no Asterix* no. 115*
""non marqué dans Hornoy ni repris dans le fonds Vandeul""",""
"136","115","H-FP_T2 L8","no","yes","L8","n/a","n/a","n/a","no","no","","","","396","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 119",""
"137","116","V-FP_T2 L8","yes","yes","L8","not appeared","not appeared","appeared","no","yes","","","yes","303","Goggi: Mél 332-333 + Esclavage nègres p. 12-14",""
"138","117","H-FP_T2 L8","no","yes","L8","n/a","n/a","n/a","no","no","","","","137","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 121",""
"139","118","V-FP_T2 L8","yes","yes","L8","not appeared","not appeared","appeared","no","yes","","","yes","165","Goggi: Mél 331 + Esclavage nègres p. 11-12",""
"140","119","V-FP_T2 L8","yes","yes","L8","not appeared","not appeared","appeared","yes","no","","","","239","",""
"141","120","V-FP_T2 L8","yes","yes","L8","not appeared","not appeared","appeared","yes","no","","","","800","",""
"142","121","V-FP_T2 L8","yes","yes","L8","not appeared","not appeared","appeared","yes","no","","","","370","Duchet: P.D. p. 21-25 // Goggi: P.D. p. 22 and 25 (la numérotation des pages a été perturbée par le déplacement d'un feuillet - ce n'est
repris qu'une partie de §13: jusqu'à dans les deux hémisphères)",""
"143","122 A","FP II
V-FP_T2 L8
","yes","yes","L8","appeared","changed","not changed","yes","no","","","yes","87","FP II and P.D.!  // Duchet: P.D. 350-352 // Goggi: P.D. p. 350-353
FP: Tome 2, Livre 8, c. 32 p, §4-5 // This FP part is readded to H-FP for a better overview. It can be deleted easily though.     Damien: I do not 
understand why Julian has readded it to H-FP while the point about H-FP is precisely that there is no FP in it.     + If it is an FP fragment, how can it 
have appeared in 1770?? (all FP fragments have been written in 1772 and published in print in 1774)

SOLVED see below:
For this chunk Duchet writes that ""une partie du texte (p. 196) vient de ce F.P.9"". This was added in H74. In H80 some of the segments were deleted.
I do not understand why I read the FP-chunks ""for better overview""... They have been deleted now. I suggest that the chunks of P.D. appeared in
1770, were changed in 1774 and not changed in 1780 though.        ","yes (but strange; to be checked)"
"144","122 B","FP II
H-FP_T2 L8","yes","yes","L8","not appeared","appeared","changed","yes","no","","","yes","210","Fragment divided into two parts: first the part from 1770, second part FP added 1774 (comment by Cassandra). This second one has been partly deleted for HDI80 (that it why it appears as ""changed"" here).",""
"145","Non Marque VIII","FP II
V-FP_T2 L8","yes","no","L8","not appeared","appeared","not changed","no","no","","","yes","163","Not Marked in Hornoy // I included it into V-FP though (can be deleted if needed)
FP: Tome 2, Livre 8, c. 32 p, §6               Damien: I do not understand why Julian has readded it to H-FP while the point about H-FP is precisely that 
there is no FP in it.

SOLVED: see below

FP-parts were deleted. ","yes "
"146","123","H-FP_T2 L8","no","yes","L8","n/a","n/a","n/a","no","no","","","","245","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 123",""
"147","124 A","V-FP_T2 L8","yes","yes","L8","appeared","not changed","not changed","yes","no","","","","Part 1-4: 1271 
(H-FP)
Part 1: 242","Livre VIII, ch 34: Here is one fragment which is split by Duchet into three parts. For Goggi it is one fragment split into four parts:
Part 1 (124 A): Livre VIII, ch 34, §5-6: Goggi AND Duchet (F.84-A): P.D. p. 4-5",""
"148","124 B","","no","yes","L8","n/a","n/a","n/a","no","no","","","",""," Part 2: Livre VIII, ch 34, §7-8: Part 2: Goggi writes that it is in Hornoy but not in Vandeul",""
"149","124 C","V-FP_T2 L8","yes","yes","L8","appeared","not changed","not changed","yes","no","","","","Part 3: 402","Part 3 (124 B): Livre VIII, ch 34, §9-10: Goggi AND Duchet (F.86-A): P.D. p. 19-21",""
"150","124 D","V-FP_T2 L8","yes","yes","L8","not appeared","appeared","not changed","yes","yes","","","","Part 4: 229","Part 4 (124 C): Livre VIII, ch 34, §11-12: Goggi AND Duchet (F. 87-C): P.D. p. 335-336 + Mél p.249-250",""
"151","125","H-FP_T2 L8","no","yes","L8","n/a","n/a","n/a","no","no","","","","76","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 130",""
"152","126","V-FP_T2 L8","yes","yes","L8","not appeared","not appeared","appeared","yes","yes","","","","192","",""
"153","127","V-FP_T2 L9","yes","yes","L9","not appeared","not appeared","appeared","yes","no","","","yes","673","Duchet: P.D. p. 242-245 + ""Voyage en Hollande"" // Goggi: P.D. 242-245 (sauf la transition textuelle à la fin de l'alinéa) // I did not adjust
the fragment to any ""transition textuelle""",""
"154","128","V-FP_T2 L9","yes","yes","L9","n/a","n/a","n/a","no","no","","","","132","Only appears in Goggi. He adds: ""dans FI, f. 119 l'alinéa est marqué au crayon rouge, mais biffé par des traits de plume. Avant de le biffer,
Vandeul a préparé le passage pour transcription en faisant des corrections au début)",""
"155","129","V-FP_T2 L9","yes","yes","L9","appeared","not changed","not changed","yes","no","","","","211","",""
"156","130","V-FP_T2 L9","yes","yes","L9","not appeared","not appeared","appeared","yes","no","","","","260","",""
"157","131","H-FP_T2 L9","no","yes","L9","n/a","n/a","n/a","no","no","","","","105","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 137",""
"158","132","V-FP_T2 L9","yes","yes","L9","appeared","not changed","not changed","yes","no","","","","307","Livre IX, ch 5, paragraphe 10",""
"159","133 A","V-FP_T2 L9","yes","yes","L9","not appeared","not appeared","appeared","yes","no","","","","221","Livre IX, ch 5, fin (en fait la plus grande partie) du paragraphe 12
Goggi: §12 (à partir de: En général, les suites des couches): PD. p. 148-149 // I deleted everything before ""En général.."" (in V-FP)",""
"160","133 B","H-FP_T2 L9","yes","yes","L9","appeared","changed","not changed","yes","no","","","","84","Livre IX, ch 5, début du paragraphe 12",""
"161","134 A","V-FP_T2 L9","yes","no","L9","appeared","not changed","changed","yes","no","","","","86","Livre IX, ch 5, paragraphe 13
[N. B.: Goggi: §13-18 (seulement repris): P.D. p. 149-152 (""Les voyageurs  [...] ailleurs."") // I added the parts which were not marked to V-FP
First paragraph does not appear in Hornoy, the second paragraph does. (comment by Cassandra)]",""
"162","134 B","H-FP_T2 L9","yes","yes","L9","appeared","not changed","changed","yes","no","","","","570","Livre IX, ch 5, paragraphes 14-18",""
"163","134 C","","no","yes","L9","n/a","n/a","n/a","no","no","","","","318","Livres IX, ch 5, paragrapes 19-21",""
"164","135","V-FP_T2 L9","yes","yes","L9","not appeared","appeared","changed","yes","no","","","yes","301","Duchet: ""FP and P.D. p. 156-157"" // Goggi: P.D. p. 84-186 (Goggi made some mistake here for sure) - Fragment should be correct though",""
"165","Non Marque IX","??","no","no","L9","not appeared","appeared","deleted","no","no","","","yes? FP?","??","This appears only in H74?? And it is part of FP but not included in FP II?? Furthermore Goggi writes:
""le FP est remplacé en H80 par le passage de la contribution précédente de Diderot"". It is thus not in HDI80. Antonina, please ignore this fragment.",""
"166","136","V-FP_T2 L9","yes","yes","L9","appeared","not changed","deleted","yes","no","","","yes","262","Duchet writes: a chunk from FP which was used in H74 disappeared in H80.   Damien: Antonina, please ignore this fragment, as it is not in HDI80.",""
"167","137","V-FP_T2 L9","yes","yes","L9","not appeared","not appeared","appeared","no","yes","","","","2018","",""
"168","138","H-FP_T2 L9","no","yes","L9","n/a","n/a","n/a","no","no","","","","126","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 145",""
"169","139","V-FP_T2 L9","yes","yes","L9","appeared","changed","changed","yes","yes","","","","713","",""
"170","140","V-FP_T2 L9","yes","yes","L9","not appeared","not appeared","appeared","yes","no","","","","446","",""
"171","141","H-FP_T2 L9","no","yes","L9","n/a","n/a","n/a","no","no","","","","100","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 148",""
"172","142","V-FP_T2 L9","yes","yes","L9","not appeared","not appeared","appeared","yes","no","","","","326","Goggi: P.D. p. 114-116 (ce n'est que le §8, qui est repris) // I did not adjust any fragment here",""
"173","143","V-FP_T2 L9","yes","yes","L9","appeared","not changed","not changed","no","no","yes (says Duch)","no","","197","Duchet writes it is inside of Observations // Goggi: ce ne sont que les dernières lignes de §6 qui sont marquées au crayon rouge; 
la première partie de l'alinéa a été biffée par Vandeul // I did not change something based on this information...",""
"174","144","H-FP_T2 L9","no","yes","L9","n/a","n/a","n/a","no","no","","","","94","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 151",""
"175","145","V-FP_T2 L9","yes","yes","L9","appeared","not changed","not changed","yes","no","","","","110","",""
"176","146","H-FP_T2 L9","no","yes","L9","n/a","n/a","n/a","no","no","","","","234","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 153",""
"177","147","FP II","no","yes","L9","n/a","appeared","not changed","no","no","","","","378","Goggi writes: Diderot, FP VII à H74 (FP, éd Goggi, p. 121-124) - Chunk can be found here: T2, L9, ch. 28, p. 455-456 (or in FP II of course)
Chunk was not added into V-FP","yes"
"178","148","V-FP_T2 L9","yes","yes","L9","appeared","changed","not changed","yes","yes","","","","525","Goggi: P.D. p. 30-32 et 33 et 23 (numérotation de pages perturbée à la suite du déplacement d'un feuillet) (Le §38 résume, pour l'essentiel
le ""Discours d'un philosophe à un roi"" de Diderot (OP, p. 483-486 et dans Mél, p. 103-108), qui est présenté comme un texte externe et
indépendant de l'HDI) // I did not change anything here",""
"179","149","V-FP_T2 L9","yes","yes","L9","appeared","not changed","changed","yes","no","","","","324","Goggi: P.D. p. 68-69 (sans les deux lignes et demi au début et les trois lignes et demi de la fin de l'alinéa) // I did not delete these lignes 
from V-FP",""
"180","150","V-FP_T3 L10","yes","yes","L10","not appeared","not appeared","appeared","yes","no","","","","783","",""
"181","151 A","V-FP_T3 L10","yes","yes","L10","appeared","not changed","not changed","no","yes","","","","450","This fragment is split in two by Duchet. Goggi writes that this fragment is in L10 Ch 2 // Duchet says Ch 1 (but that still should be the correct fragment)
It is unclear where fragment 151 should be cut into two fragments.",""
"182","151 B","H-FP_T3 L10","yes","yes","L10","appeared","not changed","not changed","no","yes","","","","162","It is unclear where fragment 151 should be cut into two fragments",""
"183","152","V-FP_T3 L10","yes","yes","L10","appeared","not changed","not changed","yes","no","","","","137","Goggi: P.D. p. 159-160 (same as Duchet) ""sans la première ligne et sans les trois dernières lignes) // I did not change the fragment
I do not know where a ""ligne"" starts or ends in Goggi's version...",""
"184","153","V-FP_T3 L10","yes","yes","L10","not appeared","appeared","not changed","yes","no","","","","192","Goggi: P.D. p. 155bis(?) (dans PD l'alinéa est transcrit dans un feuillet inséré entre la p. 154 et la p. 155) // I did not change the fragment",""
"185","154","H-FP_T3 L10","no","yes","L10","n/a","n/a","n/a","no","no","","","","45","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 165",""
"186","155 A","V-FP_T3 L10","yes","yes","L10","appeared","not changed","changed","yes","yes","","","","307","Goggi: P.D. p. 262-267, Mél p. 282-286 (le fragment commence du §53) // I added §53 and 54 to V-FP",""
"187","155 B","H-FP_T3 L10","yes","yes","L10","appeared","not changed","changed","yes","yes","","","","946","",""
"188","156","V-FP_T3 L10","yes","yes","L10","appeared","not changed","changed","yes","no","","","","736","",""
"189","157","V-FP_T3 L10","yes","yes","L10","appeared","not changed","changed","yes","yes","","","","339","Duchet: P.D. 306-308 // Goggi: P.D. 306-307",""
"190","158 A","V-FP_T3 L10","yes","yes","L10","not appeared","not appeared","appeared","yes","no","","","","572","Goggi: P.D. p. 188-191 (same as Duchet) ""Lorsque l'Angleterre crut [...] Macbeth du poète sear son image"" (In Hornoy it is more marked
than the FV contains. I deleted this passage in V-FP. There is also another comment by Goggi about FI. which I did not implement)",""
"191","158 B","H-FP_T3 L10","no","yes","L10","not appeared","not appeared","appeared","yes","no","","","","232","",""
"192","159","H-FP_T3 L10","yes","yes","L10","n/a","n/a","n/a","no","no","","","","214","Goggi: ""non repris"" // does not appear in Duchet",""
"193","160 A","V-FP_T3 L10","yes","yes","L10","appeared","not changed","changed","yes","yes","","","","218","Goggi: P.D. p. 305-306 and Mél p. 314-315 à partir de: ""La dissipation, le plaisir [...]"" // This means I will delete the first sentence within
the V-FP ",""
"194","160 B","H-FP_T3 L10","yes","yes","L10","appeared","not changed","changed","yes","yes","","","","21","",""
"195","161 A","V-FP_T3 L10","yes","yes","L10","appeared","not changed","changed","yes","no","","","","468","Goggo: P.D. p. 346-348  à partir de: ""Sans doute un historien [...]"" // Here it is the same as above: A small chunk in the beginning of this
fragment was deleted in V-FP",""
"196","161 B","H-FP_T3 L10","yes","yes","L10","appeared","not changed","changed","yes","no","","","","47","",""
"197","162","V-FP_T3 L11","yes","yes","L11","appeared","not changed","not changed","yes","yes","","","","389","Duchet splits this fragment into two parts // Actually no change to be made. The fragment can stay as it is since the two parts just have
a different page in P.D. but no additional lines marked in Hornoy or other characteristics.",""
"198","163 A","V-FP_T3 L11","yes","yes","L11","not appeared","not appeared","appeared","yes","no","","","yes","19","Duchet: P.D. and ""Réfutation"" // Goggi: P.D. p. 70-71 ""le texte des PD reprend aussi la dernière ligne du §2: ""Les grands hommes [...]
vieillie & tombée."" "" // I added this sentence to V-FP",""
"199","163 B","V-FP_T3 L11","yes","yes","L11","not appeared","not appeared","appeared","yes","no","","","yes","361","",""
"200","164","V-FP_T3 L11","yes","yes","L11","not appeared","not appeared","appeared","yes","no","","","","211","",""
"201","165","V-FP_T3 L11","yes","yes","L11","appeared","changed","not changed","no","yes","","","","213","""Esclavage nègres"" p. 15-16 + Mél. 335-336",""
"202","166","V-FP_T3 L11","yes","yes","L11","not appeared","not appeared","appeared","yes","no","","","","915","",""
"203","167 A","V-FP_T3 L11","yes","yes","L11","appeared","not changed","changed","yes","no","","","","281","Goggi: P.D. p. 137-138 (à partir de: ""Plus les hommes s'éloignent de la nature"") // I deleted a part of V-FP since the marking in Hornoy is
longer than what P.D. has to offer",""
"204","167 B","V-FP_T3 L11","yes","yes","L11","appeared","not changed","changed","yes","no","","","","111","",""
"205","168","V-FP_T3 L11","no","yes","L11","n/a","n/a","n/a","no","no","","","","103","Livre 11, Ch 18, paragraphe 37: Goggi: ""Liste"" du t. III de l'édition Raynal // Does not appear in Duchet",""
"206","169","V-FP_T3 L11","yes","yes","L11","not appeared","not appeared","appeared","no","yes","","","","140","""Esclavage nègres"" p. 14 + Mél 333-334",""
"207","170","V-FP_T3 L11","yes","yes","L11","appeared","not changed","not changed","no","yes","","","","167","""Esclavage nègres"" p. 14-15 + Mél. 334-335",""
"208","171 A","V-FP_T3 L11","yes","yes","L11","appeared","not changed","changed","no","yes","","","","159","Goggi: ""Esclavage nègres"" p.1-10 + Mél. 321-330 (aussi le §1) // I added §1 to V-FP",""
"209","171 B","V-FP_T3 L11","yes","yes","L11","appeared","not changed","changed","no","yes","","","","1680","",""
"210","172 A","V-FP_T3 L11","yes","yes","L11","not appeared","not appeared","appeared","no","yes","","","","298","H80, livre XI, chap 24 §17-18",""
"211","172 B","V-FP_T3 L11","yes","yes","L11","appeared","changed","changed","no","yes","","","","3463","H80, livre XI, chap. 24, §19-37 and §39-56",""
"212","172 C","V-FP_T3 L11","yes","yes","L11","not appeared","appeared","changed","no","yes","","","","156","H80, livre XI, chap 24 §58",""
"213","172 FP","FP II","yes","yes","L11","not appeared","appeared","n/a","no","yes","","","","295","H80, livre XI, chap. 24, §35-38 FP 7b) (see Goggi p. 255)",""
"214","173","V-FP_T3 L11","yes","yes","L11","appeared","changed","not changed","yes","yes","","","","427","",""
"215","174","V-FP_T3 L11","yes","yes","L11","appeared","not changed","not changed","yes","yes","","","","322","",""
"216","175","V-FP_T3 L11","yes","yes","L11","appeared","not changed","not changed","yes","yes","","","","152","",""
"217","176","V-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","yes","yes","","","","545","",""
"218","177","V-FP_T3 L12","yes","yes","L12","n/a","n/a","n/a","n/a","n/a","","","","94","In Goggi's ""Liste"" no. 202 (with Asterix*)",""
"219","178","V-FP_T3 L12","yes","yes","L12","appeared","not changed","not changed","yes","no","","","","274","",""
"220","179","V-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","yes","yes","yes (says Duch)","no","","217","",""
"221","180","V-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","no","no","yes","","","245","",""
"222","181","V-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","no","yes","","","","1704","Duchet splits this chunk into two parts // Goggi: Mél. p. 29-32 (ajoutées quelques lignes du §7, qui, dans FI, 293v, ont été marquées à la 
plume par Vandeul), §13-21 Mél p. 33-38 // I did not change anything here.  Damien: We keep one fragment, and do not split it into two fragments.",""
"223","182","V-FP_T3 L12","yes","yes","L12","appeared","not changed","not changed","yes","yes","","","","402","",""
"224","183","V-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","yes","yes","","","","946","",""
"225","184","H-FP_T3 L12","no","yes","L12","n/a","n/a","n/a","no","no","","","","224","Goggi: ""Non repris""  // Every ""Non repris"" means: it will only appear in H-FP and NOT in V-FP",""
"226","185","V-FP_T3 L12","yes","yes","L12","appeared","not changed","not changed","no","no","yes","","","119","",""
"227","186","V-FP_T3 L12","yes","yes","L12","appeared","not changed","not changed","no","yes","","","","137","",""
"228","187","V-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","yes","yes","","","","456","",""
"229","188","V-FP_T3 L12","yes","yes","L12","n/a","n/a","n/a","no","no","","","","158","In Goggi's ""Liste"" no. 203 (with Asterix*)",""
"230","189","H-FP_T3 L12","no","yes","L12","n/a","n/a","n/a","no","no","","","","211","Goggi: ""Non repris""",""
"231","190 A","V-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","no","no","yes","","","117","Goggi: Observations (Nakaz) V4, p. 66-67 (OP, p. 400-401) (sauf la première phrase) // I deleted the first (short) sentence from V-FP",""
"232","190 B","H-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","no","no","yes","","","5","",""
"233","191","V-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","no","yes","","","","175","",""
"234","192","V-FP_T3 L12","yes","yes","L12","not appeared","not appeared","appeared","yes","no","","","yes","372","Duchet: P.D. and ""Mémoires pour Catherine"" // Goggi: P.D. p. 69-70 (sans les premières lignes de l'alinéa) // I did not change anything
here because I don't know what Goggi means with ""les premières lignes""...",""
"235","193 A","V-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","yes","no","","","","689","Goggi: P.D. p. 253-256 (jusqu'à: ""sur la limite naturelle de vos états"") // I deleted the passage after ""sur la limite..:"" in V-FP",""
"236","193 B","H-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","yes","no","","","","58","",""
"237","194","H-FP_T3 L13","no","yes","L13","n/a","n/a","n/a","no","no","","","","50","Goggi: ""Non repris""",""
"238","195","V-FP_T3 L13","yes","yes","L13","appeared","not changed","changed","yes","yes","","","","329","Duchet: P.D. p. 339-341 // Goggi: P.D. p.339-340",""
"239","196 A","V-FP_T3 L13","yes","yes","L13","appeared","changed","not changed","yes","no","","","","202","Goggi: P.D. p. 95-96 (à partir de: ""Eh! n'est-ce pas l'intérêt de la nation [...]"") // I deleted the small part in V-FP",""
"240","196 B","H-FP_T3 L13","yes","yes","L13","appeared","changed","not changed","yes","no","","","","54","",""
"241","197","H-FP_T3 L13","no","yes","L13","n/a","n/a","n/a","no","no","","","","189","Goggi: ""Non repris""",""
"242","198","V-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","no","no","yes","no","","313","",""
"243","199","V-FP_T3 L13","yes","yes","L13","appeared","not changed","changed","yes","no","","","yes","330","Duchet: ""Compte rendu du Voyage de Bougainville"", ""Réfutation"" and P.D. p.240-242 // Goggi: P.D. p. 240-241 (Dans FI, f.137, les
dernières lignes du §3 (Allez! [...] vous l'êtes devenus.), bien que marquées au crayon rouge, ont été biffées à la plume. Elles ne sont
pas reprises dans PD) // I did not change anything here (generally I do not know what to do if it was written wir red ink and crossed out
with the pen - here are various passages like this - usually I leave them be)",""
"244","200","H-FP_T3 L13","no","yes","L13","n/a","n/a","n/a","no","no","","","","153","Goggi: ""Non repris""",""
"245","201","H-FP_T3 L13","no","yes","L13","n/a","n/a","n/a","no","no","","","","84","Goggi: ""Non repris""",""
"246","202","H-FP_T3 L13","no","yes","L13","n/a","n/a","n/a","no","no","","","","145","Goggi: ""Non repris""",""
"247","203","H-FP_T3 L13","no","yes","L13","n/a","n/a","n/a","no","no","","","","195","Goggi: ""Non repris, mais voir ""Liste"" """,""
"248","204","V-FP_T3 L13","yes","yes","L13","appeared","not changed","changed","yes","no","","","","280","",""
"249","205","H-FP_T3 L13","no","yes","L13","n/a","n/a","n/a","no","no","","","","291","Goggi: ""Non repris""",""
"250","206","V-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","yes","no","","","","593","Goggi: In FI: §1 marqué au crayon rouge est biffé à la plume // P.D. 250-253 (same as Duchet)",""
"251","207","V-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","no","yes","","","","245","Goggi: FI: rouge biffé plume + Mél p. 32-33",""
"252","208","H-FP_T3 L13","no","yes","L13","n/a","n/a","n/a","no","no","","","","197","Goggi: ""Non repris""     Damien: I don't understand what ""non repris"" means but, yes, obviously it should be deleted.",""
"253","209","V-FP_T3 L13","yes","yes","L13","appeared","not changed","not changed","yes","no","","","","225","",""
"254","210","V-FP_T3 L13","yes","yes","L13","n/a","n/a","n/a","no","no","","","","295","Goggi: ""Non repris, mais voir ""Liste"" """,""
"255","211 A","V-FP_T3 L13","yes","yes","L13","appeared","not changed","not changed","no","yes","","","","346","Duchet splits this fragment into two // Goggi: some longer description.. not sure what to do here",""
"256","211 B","V-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","no","no","yes","","","354","splitted by Cassandra",""
"257","212 A","V-FP_T3 L13","yes","yes","L13","appeared","not changed","changed","no","no","yes","","","225","Goggi: Observations (Nakaz) V4 p. 63-64 (à partir de: ""Qu'importe à l'état..."" voir OP,. p. 399 // I deleted a short part in the beginning of 
V-FP",""
"258","212 B","H-FP_T3 L13","yes","yes","L13","appeared","not changed","changed","no","no","yes","","","17","",""
"259","213","V-FP_T3 L13","yes","yes","L13","appeared","changed","changed","no","no","yes","","","265","",""
"260","214 A","V-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","no","no","yes","","","516","Duchet splits this fragment into two // Duchet: ""Cce (Ed. Roth, VII, 77, 1767)"" // Goggi: Observations (Nakaz) V4, p. 108-111 (OP, p. 437-
439), P.D. p. 273-289 (jusqu'à: durant la guerre) // I did not delete the passage after ""durant la guerre"" but I left some space in the last
paragraph in V-FP, so it can be found an deleted if needed. The problem is that I don't know if this passage does not appear in Obs, FI 
AND P.D. or only in P.D.",""
"261","214 B","V-FP_T3 L13","yes","yes","L13","appeared","not changed","changed","yes","no","","","","3475","",""
"262","215 A","V-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","yes","no","","","","25","Goggi: P.D. p. 200-202 (avec deux lignes du §13: ""Qu'on supprime les classes, qu'on en tempère [...] se couvrir de navigateurs"" // I added
these two lines into V-FP (215 A) - for the rest, see: 215 B ",""
"263","215 B","H-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","yes","no","","","","412","",""
"264","216","V-FP_T3 L13","yes","yes","L13","not appeared","not appeared","appeared","yes","no","","","","137","",""
"265","217","H-FP_T3 L13","no","yes","L13","n/a","n/a","n/a","no","no","","","","83","Goggi: ""Non repris""",""
"266","218 A","V-FP_T3 L14","yes","yes","L14","not appeared","not appeared","appeared","yes","yes","","","","213","Goggi: P.D. p. 304-305, Mél p. 313-314 (sans la première phrase) // I deleted the first sentence in V-FP",""
"267","218 B","H-FP_T3 L14","yes","yes","L14","not appeared","not appeared","appeared","yes","yes","","","","11","",""
"268","219 A","V-FP_T3 L14","yes","yes","L14","appeared","not changed","changed","yes","no","","","","59","Goggi: P.D. 89-92 (avec aussi le §7) // I added §7 to V-FP",""
"269","219 B","H-FP_T3 L14","yes","yes","L14","appeared","not changed","changed","yes","no","","","","600","",""
"270","220","V-FP_T3 L14","yes","yes","L14","n/a","n/a","n/a","no","no","","","","73","Goggi: ""Voir ""Les deux amis de Bourbonne"", DPV, XII p. 439-451 (voir l'épisode de Polly Baker dans H80, IV, XVII, 21, §1-9. Dans ce cas
aussi on trouve marqué dans Hornoy un seul alinéa (le §9). Dans les deux cas, faut-il se borner à attribuer à Diderot le seul alinéa
marqué ou peut-on lui attribuer, au moins, la transposition de l'épisode entier?) // I did not add anything here",""
"271","221","H-FP_T3 L14","no","yes","L14","n/a","n/a","n/a","no","no","","","","229","Goggi: ""Non repris""",""
"272","222","H-FP_T3 L14","no","yes","L14","n/a","n/a","n/a","no","no","","","","169","Goggi: ""Non repris""",""
"273","223","V-FP_T3 L14","yes","yes","L14","n/a","n/a","n/a","no","no","","","","101","Goggi: ""Voir CLT, t. XII, octobre 1778, p. 170-171""",""
"274","224","V-FP_T3 L14","yes","yes","L14","appeared","not changed","not changed","no","yes","","","","158","",""
"275","225","H-FP_T3 L14","no","yes","L14","n/a","n/a","n/a","no","no","","","","196","Goggi: ""Non repris""",""
"276","226","H-FP_T3 L14","no","yes","L14","n/a","n/a","n/a","no","no","","","","116","Goggi: ""Non repris""",""
